year,text
1946.0,"Diese finanzierte vrsprünglich die Agrar und Industrieausfuhr der Vereinigten Staaten, gewährte später aber auch umfangreiche Kredite zur Erschließung fremder Länder und neuerdings zur Unterstützung von Bundesgenossen so erhielten Frankreich eine Anleihe von  Mill. und die Niederlande eine solche von  Mill."
1946.0,"Es kann sich heute nicht darum handeln, an verstaubten Theologien anzuknüpfen, Adam Smith gegen Karl Marx zu zitieren, oder abstrakt die Voraussetzungen des Wohlstandes und des Glücks zu erörtern primum vivere Vordringlich ist es heute, den Notbau unserer deutschen Wirtschaft unter ein winterfestes Dach zu bringen, die Möglichkeiten der Erzeugungssteigerung auf dem Acker und im Schacht zu untersuchen, den Außenhandel in Gang zu setzen, die Währungsreform zu forcieren, mit der Agrar und Bodenreform zu beginnen, bürokratische Verwaltung und wirtschaftliche Selbstverwaltung in ein Gleichgewicht zueinander zu bringen, für die berufliche Eingliederung der Flüchtlinge zu sorgen und gegen die steuerliche Überbelastung anzugehen."
1946.0,"Zur Zeit müssen sie allerdings auf der Stelle treten, denn ein nach drei Lesungen einstimmig beschlossenes Gesetz für die Selbstverwaltung der Landwirtschaft in einer Landesbauernkammer  ist von der Militärregierung noch nicht bestätigt, und ein Agrar und Bodenreformgesetz, das in erster Lesung den Landtag passiert hatte, konnte vorübergehend nicht weiter beraten werden, da die Militärregierung für beide Sachgebiete und für die Marktordnung der Zoneninstanz die Neuregelung vorbehalten wollte."
1946.0,"Fraglich dagegen bleibt, ob sie willens und in der Lage sind, die späteren Zins und Ertragszahlungen in Waren oder Leistungsform hereinzunehmen, denn zum Unterschied von England sind die USA nicht nur ein Industrieland, sondern auch ein Agrar und Rohstofferzeuger größten Maßes."
1946.0,"Sie setzte sich zusammen aus der Kommunistischen Partei, dem politischen Kreis Zweno. der in seiner Mehrheit aus autoritär gesinnten Offizieren bestand, sowie den linken Flügeln der Agrar und sozialdemokratischen Parteien."
1946.0,"Jetzt, in einer Zeit der föderalistischen Grundsätze, ist es eine unabweisbare Forderung, daß die zentrale Instanz für die Agrar und Ernährungswirtschaft die Dinge durch an die Länder gegebene Weisungen führt, und daß sie da, wo zentrale Bewirtschaftungsorgane vorübergehend notwendigsind, diese ebenso nach dem Grundsatz der Selbstverwaltung ausgestaltet, wie es die Länder im Unterbau ihrer Ressortverwaltung tun müssen  und tun werden."
1946.0,"Der neue finnische Ministerpräsident Pekkala hat ein Kabinett gebildet, dem je fünf Abgeordnete der Kommunistischen, der Agrar und der Sozialdemokratischen Partei und zwei andere Mitglieder angehören."
1946.0,"Wenn aber demnächst das Erbhofgesetz mit der HitlerMark und dem Schwarzmarkt verschwunden ist, die Preise durch einen verstärkten Weltmarktdruck unter denen vor  liegen und neben den mehrfach höheren Steuern auch alle sonstigen Betriebsausgaben stark erhöht sind, und zu allem noch die Flüchtlinge mit ernährt sein sollen, wie .sieht es dann in der Landwirtschaft aus Müssen wir darum bei der Betrachtung der Agrar und Bodenreform nicht vielmehr von der sich bald stark verändernden und verschlechternden Lage der Landwirtschaft ausgehen Wenn wir dieses tun, erweist sich das Kieler Bodenreformwerk als ergänzungsbedürftig."
1947.0,"Aktuelle Probleme der Agrar und Bodenreform sowie soziale und betriebliche Fragen des künftigen Arbeitseinsatzes in der Landwirtschaft wurden auf einer Konferenz in  Northeim beraten, die die Agrarsoziale Arbeitsgruppe veranstaltete."
1948.0,"Die Bodenreform aber ist au Maßjtahme viel einschneidender als berspielsweise die Sozialisifrong gewisser Industrien, iienn ist sie einmal d nrdigeWhrt so hat man damit eine Richtung rfngeschlagea, die die Vörfcswirtschalt, sowohl agrar wie handelspolitisch in ganz bestimmter Weise festlegt Die gilt für den gnindsätrltdheti Beschluß eberuo wie Ist die Art seirej rungsbestinMnungerit Eine solche Ittechließung hatte daher nui von einer Zeatialstelle die gleichzeitig die zukünftige Handel und Agrarpolitik zu verantworten uad zu leiten hat, getioffen werden können."
