year,text
1949.0,"Nachdem in Washington einst im Anschluß an den Friedensvertrag vom Jahre  ein Internationales Arbeitsamt geschaffen wurde, das den Frauen besonderen Arbeitsschutz sicherte, übertraf London diese Gesetze durch die Sex disqualification removal act, nach der grundsätzlich der Frau jede Berufsarbeit eröffnet wurde, außer der Tätigkeit als Pfarrer, an der Börse oder bei der aktiven Truppe."
1951.0,"Die betriebliche Sozialarbeit umfaßt die Aufgabengebiete Belegschaftsfürsorge, Gesundheitsdienst, Erholungsverschickung, kulturelle Betreuung, Wohnungsbau, Arbeitsschutz, Altersversorgung und die Sozialwerkstätten."
1953.0,Eine erschreckende Statistik von Betriebsunfällen wurde vom Bundesinstitut für Arbeitsschutz in Soest veröffentlicht.
1956.0,"Ordentliche Kongreß des Deutschen Gewerkschaftsbundes hat ein reiches Arbeitsprogramm Kürzere Arbeitszeit, höhere Löhne und Gehälter, größere soziale Sicherheit, gesicherte Mitbestimmung und verbesserter Arbeitsschutz."
1970.0,"Vor allem bezichtigte er die Führung, sie hätte zuwenig getan für die Forderungen der Bergarbeiter nach verbesserter Betriebssicherheit und den Arbeitsschutz in den Gruben, für ihre Funktionäre aber fette Pfründen und hohe Gehälter bewilligt."
1974.0,"Im Gegenangriff strich dann Hager die Vorzüge seines Staates heraus Vollbeschäftigung, Arbeitsschutz, umfassende Rechte und Freiheiten, Friedenspolitik und ähnliches."
1979.0,Bernhard Vogel Ministerpräsident von RheinlandPfalz Die FDP ist grün vor Angst Heinrich Köppler CDUOppositionsführer in Düsseldorf Arbeitsschutz darf als Kernstück der Humanisierung nicht den konjunkturellen Schwankungen unterworfen werden.
1982.0,"An der Spitze der Gesamtabteilung bleibt mit SchmidtKüster zwarnoch ein erklärter BrüterFan als Oberaufseher, aber auch der befindet sich schon auf dem Absprung, Die Strafanzeige des Bundes der Steuerzahler gegen den Präsidenten der Bundesanstalt für Arbeitsschutz und Unfallforschung in Dortmund, Manfred Hagenkötter, könnte zu einem Musterprozeß führen."
1988.0,"Über  Prozent des weiblichen Krankenhauspersonals leiden unter Rückenschmerzen, fand die Dortmunder Gesellschaft für Arbeitsschutz und Humanisierungsforschung in einer Studie heraus."
1988.0,"Für  Prozent der Bereitschaftdienst leistenden Ärzte sind die Regenerationsbedingungen unzureichend, heißt es in einer Untersuchung der Bundesanstalt für Arbeitsschutz."
1989.0,"Dabei hatten die Grünen sich nur auf eine Studie der Bundesanstalt für Arbeitsschutz bezogen, in der Imhausen mehrfach aufgelistet worden war."
1990.0,"Die Verwaltungsunion sieht ferner die Einrichtung eines gemeinsamen Bürgerreferats, gemeinsames Protokoll, Oberfinanzdirektion wie gemeinsame Untersuchungs und Aufsichtsämter etwa für Lebensmittelkontrolle und Arbeitsschutz vor."
1993.0,"Kinderarbeit, Arbeitstage bis zu vierzehn Stunden, Leiharbeiter vom Lande, keine Gesundheits oder Altersvorsorge, kein Arbeitsschutz."
2000.0,"Was ist daran sozial oder ausgewogen Was ist gerecht an einem ausgeklügelten Regelsystem, das die beati possidentes schützt, also jene, die einen Job oder eine Wohnung schon haben, aber jene vernachlässigt, die beides suchen Flexibilität sollte deshalb im Munde des Modernisierungskanzlers nicht zum Unwort geraten, zumal sich jeder Erstsemesterstudent der Ökonomie ausrechnen kann, dass mit jedem Quantum Arbeitsschutz ein Quantum neuer Arbeit im Keim vernichtet wird."
2005.0,In OWL werden deshalb die Ämter für Umwelt und für Arbeitsschutz zusammengelegt.
2007.0,Als Ansatz für ein Bundesgesetz nannte er Arbeitsschutz oder Gesundheitsprophylaxe.
2008.0,Das Ergebnis Der Konzern muss sich an Gesetze zum Umwelt und Arbeitsschutz halten und Steuern zahlen.
2013.0,"Der psychische Druck am Arbeitsplatz hat in den letzten Jahren stetig zugenommen, die Regelungen zum Arbeitsschutz haben sich dem nicht angepasst, begründete Kramme die Pläne."
