year,text
1966.0,Der liberale Soziologe Ralf Dahrendorf sieht in ihm einen Vertreter des radikalen Liberalismus  im Gegensatz zum utopischen Autoritarismus Georg Lebers.
1969.0,"Auf der Seite der OktoberRevolution stehen, bedeute heute, der bürokratischen Degeneration, dem Autoritarismus, der Entpolitisierung der Massen Widerstand zu leisten."
1970.0,Der Faschismus der reaktionären Katholiken und der rechtsextremen FalangeGruppen aber war in den letzten fünfzehn Jahren bis auf letzte Restspuren aus Francos Einheitspartei verdrängt und durch einen technokratischen Autoritarismus ersetzt worden.
1975.0,"Die von manchen angebotenen Lösungen für diese Probleme aber machen die Dinge nur schlimmer der Autoritarismus einer kleinen Elite, die mit dem Überleben zugleich Recht und Ordnung sichern soll, der Egalitarismus einer tyrannischen Mehrheit, für die Gerechtigkeit bedeutet, daß niemand anders sein darf."
1977.0,"Ich dachte voller Sorge an den drohenden wachsenden Autoritarismus in Westdeutschland, an die Möglichkeit eines neuen Neonazismus der ganz Europa erschüttern kann als letzte Konsequenz der repressiven Praktiken Gerichtsverfahren und Prozesse nach kafkaschem Mutter, geheimnisvolle Selbstmorde, gefährliche Auswirkungen des Berufsverbotes."
1979.0,"Im Gegenteil, gerade der Versuch, den Autoritarismus abzubauen, brachte mich in Schwierigkeiten."
1981.0,"Drittens hat der Iran den Krieg bisher  und das ist ganz wesentlich Bani Sadrs Verdienst  ohne schwerwiegenden Rückfall in einen neuen Autoritarismus überstanden, trotz aller Versuche der Islamischen Republikspartei und führende PolitAjatollahs, im Zeichen des Krieges neuer Repression und neuen Freiheitsbeschränkungen das Wort zu reden."
1981.0,"Und das nur dann voll zum Tragen kommt, wenn die Verantwortlichen dem Volk nicht ihren Willen aufzuzwingen versuchen, Wir müssen uns dieser phantastischen Volkskraft anpassen und uns nicht in geistiger Verblendung einbilden, die Probleme durch Gewalt, Despotismus, Autoritarismus und Bürokratismus lösen zu können."
1981.0,Ich bin ein überzeugter Gegner jeder Form von Autoritarismus.
1981.0,"So werden selbst Massenparteien zu bürokratischen Apparaten, und das SchahRegime wird durch neuen Autoritarismus ersetzt."
1989.0,"Genau in dem Moment, in dem das passiert, wachen die Träumenden dann immer auf  schweißgebadet und zum finsteren Autoritarismus entschlossen."
1992.0,"Das ist die Konsequenz des AmnestieGesetzes noch unter der PinochetDiktatur, d. Red. und in gewisser Hinsicht auch der ausgehandelten Übereinkunft beim Übergang vom Autoritarismus zur Demokratie."
1993.0,"In den sechziger Jahren verstand es die Studentenbewegung, die beiden Grundwidersprüche der hochentwickelten Demokratien mit all ihren Schwierigkeiten während der dritten technologischen Revolution aufzudecken und schließlich auch aufzulösen den Widerspruch zwischen dem fortdauernden Autoritarismus in diesen Gesellschaften voller Traditionalismus und TechnokratieGläubigkeit auf der einen Seite und andererseits dem Streben der immer besser ausgebildeten und auch individualistischeren Bürger nach mehr Gleichheit, wo es um den Zugang zu gesellschaftlichen Gütern ging."
1994.0,Parieren und Profitieren Ist dies das Geheimnis des fernöstlichen Erfolgs Neben Singapurs Lee Kuan Yew ist Mahathir der wortmächtigste Vertreter des neuen asiatischen Autoritarismus.
1994.0,"Die Prügelstrafe von Singapur hat vielen Menschen im Westen eine neue Art von Ordnung vorgeführt, nennen wir sie den asiatischen Autoritarismus."
1994.0,Würde Europa nicht auch ein bißchen asiatischer Autoritarismus guttun Nein.
1994.0,Die Antwort auf den neuen Rutsch nach rechts und den Flirt mit asiatischem Autoritarismus muß daher ein Zusammenrücken aller freiheitlichen Kräfte sein.
1995.0,"Lees Politik läuft auf einen sanften Autoritarismus hinaus, samt Henker und Prügelstrafe."
1995.0,"Vielleicht geht es in Singapur am Ende auch gar nicht so sehr um einen Zusammenprall der Kulturen, um den Kampf zwischen westlichem Liberalismus und asiatischem Autoritarismus, sondern einfach um die ewige Auseinandersetzung zwischen Freiheit und Unterdrückung."
1995.0,"Lassen sich so doch vielleicht Brücken zwischen dem grossen und dem kleinen China bauen HarvardProfessor Samuel Huntington jedenfalls glaubt, dass ein halbdemokratischer Autoritarismus wie in Singapur auf Dauer keine Chance hat, dass die Freiheit und die Kreativität, wie sie Präsident Lee Taiwan gegeben hat, ihn überleben werden."
1997.0,Ein Jahrhundert des Autoritarismus ist keineswegs die unwahrscheinlichste Prognose für das .
1997.0,"Das Eintreten vieler Asiaten für Pflichten  in Konfuzianismus, Hinduismus und Islam traditionell  von vornherein als Autoritarismus und Paternalismus zu denunzieren, ist wirklichkeitsblind und arrogant."
1997.0,"Das erklärt die von bürokratischem Autoritarismus geprägte Vorliebe neoklassischer Ökonomen für unabhängige, sich selbst kontrollierende Expertengremien."
2000.0,"Herr Präsident, Sie werden als Vorreiter eines neuen lateinamerikanischen Autoritarismus gesehen."
2000.0,"Die westlichen Zyniker, die heute dem Moskauer Autoritarismus als Stabilitätskur das Wort reden, verspielen den echten Partner Deutschlands und Europas."
2000.0,So könnten die Auswirkungen des Neoliberalismus Fujimori eher zum Verhängnis werden als sein Autoritarismus.
2000.0,"Da halten Liberale wie die DumaAbgeordnete Irina Chakamada einen Autoritarismus auf Zeit für nötig, um die Wirtschaft umzubauen."
2000.0,Deutlicher hat der postfaschistische Autoritarismus in demokratischen Regierungen in Europa noch nie sein Haupt gehoben.
2000.0,"Wir haben, als wir im Januar  die Alleanza Nazionale gründeten, eine politische Antwort gegeben und deutlich erklärt Wir verurteilen jede Form des Totalitarismus und Autoritarismus."
2001.0,"Heute wiederum schlingern die Indonesier zwischen der Perspektive eines demokratischen Pluralismus und dem Rückfall in neuen Autoritarismus, der diesmal islamischfundamentalistisch ausfallen könnte."
2001.0,"Auch um die Hoffnung von Millionen Indonesiern, einem neuen Autoritarismus zu entgehen, wird es dann geschehen sein."
2001.0,"Überreste und Fraktionen der islamistischen Bewegung versuchen seit einiger Zeit, sich mit säkularen Kräften gegen den Autoritarismus der herrschenden Klassen zu verbünden, zum Beispiel in Ägypten, der Türkei, dem Iran."
2002.0,Sehr behutsam formulierte er seine Befürchtung Ein Jahrhundert des Autoritarismus ist keineswegs die unwahrscheinlichste Prognose für das .
2003.0,Am Ende wird sogar eine neue und milde Form von Autoritarismus sichtbar.
2005.0,"Er mag den Autoritarismus Wladimir Putins geißeln, aber er wird mit ihm zusammenarbeiten müssen, sofern er etwa Russlands Atomexport in den Iran unterbinden will."
2006.0,Das hielten Amerikaner für eine Vorstufe zum Autoritarismus.
2008.0,"Die Verschiebung der Gewichte im Osten Europas, die Erosion rechtsstaatlicher Strukturen, der politische Untergang von Verbündeten der EU, die drohende Rückkehr des Autoritarismus allerorten, der Verlust europäischen Einflusses  erst im Putinschen Russland, jetzt bald auch in der Türkei Es ist höchste Zeit, dass die Europäische Union ihren institutionellen Kleinkrieg überwindet und sich um die wirklich wichtigen Fragen in ihrer Umgebung kümmert."
2009.0,"Sie alle haben Intoleranz, Autoritarismus und Verachtung für den Rechtsstaat und die Gewaltenteilung an den Tag gelegt, urteilt Salomon."
2010.0,"Es muss klar sein Die Ära der unilateralen Lösungen, des Isolationismus, des Autoritarismus, des wirtschaftlichen und kulturellen Protektionismus ist vorbei."
2010.0,"Es ist Kirgistans Schicksal, zwischen Demokratie und Autoritarismus einen eigenen Mittelweg finden zu müssen."
2010.0,"Zweitens pflege man in Washington und Brüssel eine selektive Blindheit gegenüber dem Autoritarismus zentralasiatischer Machthaber, weil die Region zur logistischen Drehscheibe für den Krieg in Afghanistan geworden ist."
2010.0,"Sobald er diese gefährdet sah, griff er in die Trickkiste des Autoritarismus."
2011.0,"Der westliche Beitrag zur neuen russischen Prosperität behinderte kaum, ja stabilisierte in gewisser Hinsicht den Autoritarismus auf föderaler und regionaler Ebene."
2011.0,Blieben noch Russland und China als die wichtigsten regionalen Bollwerke des Autoritarismus.
2011.0,Religiöse Akteure können die Abkehr vom Autoritarismus und die Etablierung demokratischer Ordnungen ebenso befördern wie hemmen.
2011.0,"Wo es aber wenige Nutznießer gibt, da sind auch nur wenige Menschen bereit, die alten Verhältnisse zu stützen. forscht am Carnegie Middle East Center in der libanesischen Hauptstadt Beirut Anders als in Ägypten bekam in Tunesien auch nicht nur eine kleine politisch aktive Minderheit die Brutalität des Autoritarismus zu spüren, sondern buchstäblich jeder einzelne Bürger , der nicht selbst dem regierenden Establishment angehörte oder ihm wenigstens verbunden war."
2011.0,Überall können Menschen sich gegen das Joch des Autoritarismus stemmen und Korruption und selbst Gewehrkugeln trotzen  das ist die eine Lehre.
2011.0,"Für eine junge Regierung, wie die des Südsudan, die noch damit beschäftigt ist, funktionierende Institutionen aufzubauen und sich jetzt schon Anschuldigungen von schlechter Regierungsführung, Korruption und Autoritarismus gegenübersieht, muss der bildlich zu besteigende Berg wie der Mount Everest erscheinen."
2011.0,"In seiner Freizeit spielt er am liebsten Computerspiele, er mag Markenklamotten, und diese ganze Diskussion über USA und China, über Demokratie und Autoritarismus interessiert mich wirklich nicht."
2011.0,"Er verziert seinen kruden Autoritarismus mit lustigen Referenzen zu den Marx Brothers, Alfred Hitchcock oder Britney Spears."
2012.0,"Doch der ehemalige rote Bischof, der sich in seiner Diözese San Pedro für landlose Bauern und die arme Landbevölkerung engagierte, hatte den Gegner gleich mit an Bord seine Allianz mit der Liberalen Partei PLRA, der historischen Opposition gegen die Diktatur, aus der aber inzwischen eine von Vetternwirtschaft, Opportunismus und Autoritarismus durchsetzte Partei geworden ist."
2012.0,"Gegen den demokratisch daherkommenden Autoritarismus aber hilft nur die ständige politische Auseinandersetzung und Wachsamkeit  ganz gleich, ob sich NPDIdeologen oder Vertreter aus der Mitte der Gesellschaft verkleiden."
2012.0,"Hätte er den Weg des Autoritarismus gewählt, hätte er die Verfassung geändert."
2012.0,"Das gesamte bisherige Regiment mit seiner Korruption und seinem Autoritarismus blieb unangetastet, heißt es in dem Manifest."
2013.0,"Dass Alexander Rahr als intellektueller Kopf des DeutschRussischen Forums firmiert  ein Mann, der jegliche Kritik an Putins Autoritarismus als Hysterie abtut und Menschenrechtler als Kreuzritter diffamiert , gibt der Sache eine merkwürdige Schlagseite."
2013.0,"Nur eine politische Führung, deren Ziel die Demokratisierung ist, hat die Chance, eine Gesellschaft zu regieren, die den Autoritarismus ablehnt und sich nach stabiler Demokratie sehnt."
2014.0,"Er will einen Autoritarismus, der  und das ist neu  an sich selbst glaubt."
2014.0,"Sein Hauptproblem aber ist nicht ein Zuviel an Moral, sondern ein Zuwenig sein korrupter Autoritarismus."
2014.0,"Seither haben sich die Ereignisse im bevölkerungsreichsten Land der arabischen Welt so oft überschlagen, dass die Ägypter selbst nicht mehr zu wissen scheinen, was gerade eingetreten ist eine Stabilisierung, die Rückkehr des alten Autoritarismus, die nächste Protestwelle oder eine Phase der totalen Erschöpfung."
2014.0,"Sabahi,  Jahre alt, verkörpert wie kaum ein Zweiter die Widersprüche des Widerstands gegen Ägyptens Autoritarismus."
2014.0,"Doch leider, schreibt die Gruppe, hätten die beiden sich während ihrer Zeit im Arbeitslager so auf ihren Kampf gegen schlechte Haftbedingungen konzentriert, dass sie die eigentlichen Ziele von Pussy Riot vergessen hätten Feminismus und der Kampf gegen Autoritarismus und Personenkult."
2014.0,"Werden Moskau und seine Partner es schaffen, eine ebenso freiwillige wie dauerhafte Gemeinschaft hervorzubringen, die wirtschaftlich Sinn ergibt und zugleich den Menschen in den Mitgliedsländern zum Vorteil gereicht Werden die EAUMitglieder untereinander Synergien aufbauen und zugleich der Weltwirtschaft gegenüber offen bleiben Oder wird die neue Eurasische Union den Versuchungen des Protektionismus, der Selbstabkapselung und des immer größeren Autoritarismus erliegen Das Jahr  wird uns schlauer machen."
2014.0,"Die Finma, die den Eindruck erweckt, die Wertschätzung ihrer internationalen Kollegen höher zu gewichten als die Solidarität mit der Schweizer Wirtschaft  und die ihr Durchsetzungsvermögen mit Autoritarismus verwechselt."
