year,text
1946.0,"Bis auf die Arbeiterbewegung haben alle demokratischen Strömungen in Deutschland allmählich eine Wandlung von links nach rechts, von der revolutionären Dynamik bis zum statischen Prinzip des Konservatismus, selbst bis zum Gegenpol der Reaktion vollzogen."
1947.0,"Was aber auf solche angewiesen, bleibt, verfällt unvermeidbar mit der Zeit einer bedenklichen Exklusivität, einem selbstzufriedenen Konservatismus und zudem einem Kult imaginärer, wenigstens lokal begrenzter Großen."
1949.0,"Kurz zuvor waren allerdings  führende Mitglieder aus der Deutschen Partei ausgetreten, weil die Strömungen in dieser Partei mit Konservatismus nichts mehr zu tun hätten, vielmehr immer deutlicher den Einfluß der StrasserBewegung verrieten."
1956.0,Und der romantischpietistische Konservatismus eines Ludwig von Gerlach lehnte die an der Staatsräson und an den Realitäten der zweiten Hälfte des .
1956.0,"In Bild und Ausstattung herrscht jener unbefangene Konservatismus vor, der anscheinend auf das romanische Spieltemperament eher förderlich als hemmend wirkt."
1957.0,"So grundverschieden die Lüneburger Heide und die Küstenlandschaften der Nordsee zwischen Elbe und Wesermündung wirken  gemeinsam ist ihnen nicht nur der niedersädsichse Menschenschlag, sondern auch der tief eingewurzelte Konservatismus eines Bauerntums, das zäh am Althergebrachten festhält und sich seiner geschichtlichen Traditionen viel lebendiger bewußt ist, als man das im Westen und Süden des Bundesgebietes von dem Sonderfall Bayern abgesehen im allgemeinen antrifft."
1958.0,"Und was hat Macmillan in der Innenpolitik, wo er einen Konservatismus des goldenen Mittelweges vertritt, schon erreicht Ein Mietgesetz, das den Hauswirten etwas größere Bewegungsfreiheit gibt eine geringe Steuerermäßigung für die Geschäftsleute schließlich, in den letzten Monaten, einen kleinen Erfolg bei der Bekämpfung der Inflation."
1959.0,"In der Form von Zickzack diagrammen oder Zahlentabellen kann jeder seine Zensuren in Radikalismus, Konservatismus, Ausdauer, Ausgeglichenheit, Zufriedenheit, Geselligkeit und praktischer Urteilsfähigkeit erhalten."
1960.0,"Der Realist Merkatz weiß, daß Konservatismus heute als Programm einer kleinen Partei keine Chancen mehr hat, daß es vielmehr darauf ankommt, die konservative Haltung hinüberzuretten in die Partei jenes neuen Typs, den die CDU verkörpert."
1961.0,"Die Ultras des belgischen Konservatismus fanden schnell Verbündete bei der sozialistischen Opposition, die sich anfänglich der parlamentarischen Kampfmittel gegen das Gesetz bediente."
1961.0,"Mit seinen Parolen vom neuen, harten, soliden amerikanischen Konservatismus findet Goldwater Widerhall in allen Teilen des Landes, besonders aber bei der akademischen Jugend  er kann sich kaum retten vor immer neuen Einladungen in Universitäten und Colleges."
1961.0,"Sie heißen jetzt Partei der Freiheit und des Fortschritts Grund In Belgien hat sich mit dem Wort Liberalismus im Laufe der letzten Jahre die Vorstellung von Kirchenfeindlichkeit und Konservatismus verbunden zwei Begriffe, die anscheinend widersprüchlich sind doch haben die Liberalen, die in Belgien  Sitze haben von den  des Parlaments manchen Anlaß zu diesem Urteil gegeben, das sie nun vermeiden möchten."
1962.0,"Natürlich ist Hassan II. alles andere als ein Sozialrevolutionär, und doch wäre es nicht richtig, ihn des Konservatismus zu bezichtigen."
1963.0,"In der Auseinandersetzung mit dem neuen Phänomen eines Iain Macleod ist er freilich unterlegen  und mit ihm unterlag die ganze alte ToryWelt jener neuen Welt der jungen Männer, die auf ihre Anpassungsfähigkeit mehr geben als auf ihren Konservatismus."
1963.0,"Barry Goldwater, Senator von Arizona Was es so schwer macht, Konservatismus zu verkaufen, ist die Tatsache, daß seine Exponenten so radikale und törichte Erklärungen verbreiten."
1964.0,"Eine bloße Beschreibung der verschiedenen Elemente hinter Goldwater zeigt schon, daß ihr angeblicher Konservatismus von keiner verbindenden Anschauung getragen wird."
1964.0,"Er beschränkte, sich darauf, Erzieher zu sein, Erzieher eines ganzen, in erzenem Konservatismus erstarrten Volkes."
1965.0,"Die Gerechtigkeitspartei  sie steht unter der Führung des dynamischen stellvertretenden Ministerpräsidenten Demirel  gilt als Sammelbecken all jener Kräfte, die eher zum Konservatismus neigen und die Reformtendenzen und die staatliche Planung der Volkspartei ablehnen."
1965.0,"Damit war deutlich gesagt, daß Paul VI. das Konzil auf einen gemäßigten Progressismus oder auf einen fortschrittlichen Konservatismus hingesteuert hat."
1965.0,Er warnte sowohl vor einem unbedachten Reformismus als auch vor einem kurzsichtigen Konservatismus.
1965.0,"Die FDP steht laut Mende seit hundert Jahren in einer Kampfsituation gegen Absolutismus, Konservatismus, Kollektivismus, Sozialismus und Kommunismus."
1965.0,"Ein Mann wie Lord Gladwyn, ein Liberaler, der für Straußens Art von Konservatismus nicht viel übrig haben kann und jeglichem Bombast, jeglicher Rhetorik abhold ist, war von dem Euch so beeindruckt, daß er sich sofort erbötig machte, es für die Sunday Times zu rezensieren."
1966.0,"Konservativer, der er durch Herkunft, Erziehung, Wesensart, geistige Bildung war, glaubte er, dies nur mit dem Mittel eines verjüngten Konservatismus erreichen zu können."
1966.0,"Seit  ist er Parlamentsabgeordneter ein fortschrittlicher Bauernpolitiker mit einer gesunden Dosis Konservatismus, katholisch, aber nicht klerikal."
1966.0,Ein gesunder Konservatismus ist nach Kisielewskis Meinung eines der wichtigsten nationalen Bindemittel.
1967.0,"Wer aber will, daß unser Land modern, zivilisiert und frei wird, kann sich diese Version des Konservatismus schlechterdings nicht leisten."
1968.0,Die Zurückweisung engerer OstWestKontakte erklärt sich aus dem Konservatismus der gegenwärtigen Sowjetführung.
1968.0,"Der ideologische Konservatismus, der die institutionellen Interessen einer doktrinären HerrschaftsBürokratie widerspiegelt, erzeugt in den Sowjetführern eine beinahe automatische Sympathie für radikale revolutionäre Bewegungen und den Wunsch, ihnen beizustehen, wenn sie nur antiamerikanisch orientiert sind das sowjetische Interesse am Status quo hingegen  verkörpert durch die ständige Bürokratisierung der Gewohnheiten wie der Denkungsart der Sowjetführung  und die klare Einsicht in die Gefährlichkeit der nuklearen Waffen erklärt andererseits, daß die Sowjetunion Unwillens ist, zugunsten radikaler Bewegungen größere Risiken einzugehen."
1968.0,"Sie stellen ein gemäßigtes Frankreich dar, das in Ruhe leben will, mit allen Grundfreiheiten und ohne besonderen Hang zur Reaktion, nicht einmal zum Konservatismus."
1968.0,"Funktionen es nicht, so wird ihm gar nichts anderes übrig bleiben als die Abkehr vom Konservatismus und die Zuflucht zu unorthodoxen Mitteln."
1969.0,Furcht und Konservatismus führen zu Konformismus und Apathie.
1970.0,Nur in der Rechtspolitik bilden die Bayern das Bollwerk des extremen Konservatismus.
