year,text
1948.0,"Sollten sich unsere Historiker nicht bemühen, nachdem genügend Schlachtfelder ausgegraben sind, diese große europäische Friedensströmung mit gleicher wissenschaftlicher Gründlichkeit zu erforschen Auch für sie gilt, wie für uns alle, das Wort des großen Nationalökonomen Adam Müller, das vor einem Jahrhundert geschrieben, wie eine Stimme aus unserer Zeit klingt Wir fühlen, es gibt keinen bloßen, reinen Patriotismus mehr, wie ihn die Alten nährten ein gewisser Kosmopolitismus geht ihm zur Seite, und mit Recht, denn es kommt auf zwei Dinge an auf das Vaterland und auf den Staatenbund, deren eins, abgesondert für sich, ohne das andere nicht mehr begehrt werden kann  Ein Postfestum zum Frankfurter SchriftstellerKongreß Von Eugen Schmahl Im Verlaufe des Schriftstellerkongresses in Frankfurt verdichtete sich der Eindruck, daß vieles ungesagt blieb, was hätte gesagt werden sollen."
1948.0,"Die deutsche Freiheits und Einigungsbewegung hatte begonnen unter zahlreichen Äußerungen eines verbrüderungsfreudigen Kosmopolitismus, im Verlauf der Ereignisse aber hatte sich stärker und stärker ein anspruchsvoller nationaler Machtsinn zu Worte gemeldet."
1949.0,"Bürgerlicher Nationalismus, Antisowjetismus, Formalismus, Komparativismus, Kosmopolitismus, Antipatriotismus  das waren die Vorwürfe, die ihnen gemacht wurden und die sie meist schnell dazu brachten, ihre Fehler einzusehen, öffentlich zu widerrufen und Besserung zu geloben."
1949.0,"Jedenfalls bekannte er jetzt in der Sowjetzeitschrift Wirtschaftsfragen, er habe eine ganze Kette von Irrtümern reformistischer Art gebildet, den Kosmopolitismus gefördert, den Kapitalismus beschönigt, großes Unglück verursacht und die sowjetischen Nationalökonomen genötigt, sich mit Fragen zu befassen, die durch den MarxismusLeninismus längst korrekt gelöst waren ..."
1971.0,"Leitung und Kontrolle der Partei sollen verstärkt werden, dekadente Strömungen und Einflüsse der bürgerlichen Ideologie verschwinden, Erscheinungsformen des Kosmopolitismus, künstlerische Moden, die der kapitalistischen Welt entlehnt wurden resolut bekämpft und erstickt werden."
1974.0,"Die Behandlung der Firma Siemens, die mit falschen Betrugsvorwürfen in eine kalte Teilenteignung gezwungen wurde, war kein Ruhmesblatt für den argentinischen Kosmopolitismus."
1984.0,"So plädierte er, der Linke, für Patriotismus und wandte sich gegen oberflächlichen Kosmopolitismus."
1995.0,"Sie hat den Menschen an sich im Auge, nicht den Europäer, und ist auf Kosmopolitismus aus."
1998.0,"Wird sie die Alltagssprache sein und Englisch jedermanns Zweitsprache  so wie heutzutage in den Niederlanden Oder wird der Kosmopolitismus auf enge Kreise beschränkt bleiben, die sich im deutschen Mittelfeld bewegen, ohne weiter aufzufallen Die zweite Hälfte des ."
1999.0,"Gewiss, der Kosmopolitismus ist eine edle Idee, die das Gute in uns anspricht."
2001.0,"Es ist eine marxistisch zubereitete Analyse der Dialektik vom Speisen und Verdauen, garniert mit einer patriotischen Warnung vor zu viel Kosmopolitismus in der Küche."
2007.0,"Beck, der Soziologe der Übergänge und der Transformation in neue Zustände, versucht seit einigen Jahren, für dieses Neue einen Begriff durchzusetzen Kosmopolitismus."
2007.0,"Mit dem Begriff Kosmopolitismus zielt er wieder einmal auf einen Paradigmenwechsel, heraus aus dem rein nationalstaatlichen Denken und dem methodologischen Nationalismus, der den Sozialwissenschaften so schwer auszutreiben sei."
2007.0,"Dieses Projekt, das mehr ist als die Europäische Union mit ihrem Brüsseler Hauptquartier, ist für ihn im Laufe der Jahre zum politischen Kern, zugleich aber auch zum idealen Demonstrationsobjekt für seinen Kosmopolitismus und die Theorie der reflexiven Modernisierung geworden."
2007.0,"War es denn anders mit der Europäisierung Deutschlands Zählt Ulrich Beck, der Denker des europäischen Kosmopolitismus, damit nicht zu denen, die sich Europa nur schönreden Nein, Ulrich Beck ist kein Idealist."
2009.0,"Einen sich gaullistisch drapierenden Antiamerikanismus, der selbst riskante Begriffe wie Kosmopolitismus nicht scheut  und der Autor ist zu gebildet, um nicht zu wissen, dass hinter diesem Begriff eine ganze Meute antisemitischer Hunde rast."
2009.0,"Die Adressen seiner Familien und Lebensgeschichte, die auf der ganzen Welt zum Symbol eines zeitgemäßen Kosmopolitismus geworden sind, liegen in Kenia, Indonesien und Hawaii."
2009.0,"Geehrt werden sollte damit der Soziologe Ulrich Beck, Autor der Risikogesellschaft von  und Promotor eines neuen Kosmopolitismus, anlässlich seines ."
2010.0,"Bei allem Kosmopolitismus Obamas, bei aller globalen Faszination für den Weltpräsidenten Mit einer fast harten Nüchternheit erklärt er sein Land zur Priorität."
