year,text
1946.0,"Als  Land mit dem engsten Ernährungsraum wurde es hochindustrialisiert und ein Land des Liberalismus, des Freihandels und des Fortschritts."
1946.0,"Der Liberalismus erkennt zwar keine überlieferten Rechte an, die aus dynastischen Erbfolgen entspringen, aber er beugt sich wirtschaftlichen Erwägungen, militärischen Erfordernissen."
1946.0,"Innenpolitisch führte er als Ministerpräsident einen Kurs des sozialen Liberalismus und der sozialen Demokratie, eine Politik, die wie die Brantingdie von dem Gedankengut der französischen SozialistischRadikalen stärker beeinflußt war als von dem des Marxismus."
1946.0,"Theorie und Politik, die den Angriff gegen die Wirtschaftsbürokratie führen, stammen aus zwei so entgegengesetzten Lagern wie dem des Liberalismus und des Sozialismus."
1947.0,"Eskomme darauf an, über den Liberalismus hinaus zu neuen verpflichtenden Formen im Zusammenleben der Menschen zu gelangen Das soll vor allem auf den wichtigen Bereich der Arbeit im Fabrikbetriebe bezogen werden."
1947.0,Nach der Ansicht der CDU habe weder der Liberalismus noch der Marxismus Ansatzpunkte für die Überwindung des Gegensatzes zwischen Kapital und Arbeit und für die Rückgliederung der Arbeit in den natürlichen Lebensbereich der Arbeitenden aufzeigen können.
1947.0,"Die zur Zeit in Oxford tagende Liberale Internationale, in der Vertreter aus allen Teilen des britischen Weltreiches und aus allen europäischen Ländern mit Ausnahme Rußlands und Jugoslawiens teilnehmen, formulierte als den Zweck ihrer neuen Weltorganisation, die allgemeine Anerkennung des Liberalismus in der ganzen Welt zu erreichen und die Bildung einer freien menschlichen Gesellschaft zu fördern, die auf den Grundsätzen der Freiheit und der persönlichen Verantwortung begründet ist."
1948.0,"Im Gegenteil, hier in den Amtsstuben der hohen preußischen Verwaltungsbeamten war es, wo hartnäckig bestritten wurde, daß überhaupt ein Notstand existiere, wo man nicht einmal von den zur Unterstützung der Weber gegründeten Hilfsvereinen etwas wissen wollte, weil dies dem damals in Preußen bestehenden doktrinären Liberalismus widersprach."
1948.0,"Uns freilich erscheint es merkwürdig genug, die kommunistischen und die Schutzzollideen in derart enge Verbindung gebracht zu sehen, ebenso merkwürdig, wie die Tatsache, daß die Regierung in diesen Jahren die kommunistische Trierer Zeitung duldete, weil sie den politischen Liberalismus befehdete, daß der preußische Regierungsassessor Hermann Wagner in dem offiziellen Rheinischen Beobachter eine Allianz zwischen Proletariat und Regierung befürwortete, was dann wieder den Spott von Marx und Engels in der Brüsseler Zeitung über den Königlich preußischen Regierungssozialismus hervorrief.  dichtete Freiligrath sein Erwache, ."
1948.0,"Deutschland und verzichtete zugleich auf die ihm bis dahin vom König gewährte Pension, weil deren Annahme ihm nicht mehr mit seinen liberalen Grundsätzen vereinbar zu sein schien, während Georg Büchner der monarchische Absolutismus mmer noch erträglihcer vorkam als der Liberalismus, weil es sich für ihn nicht darum handelte, daß ein Liberaler seine Gedanken nicht drucken lassen konnte, sondern daß viele Familien ihre Kartoffeln nicht schmälzen konnten."
1948.0,"Die Fronten waren seltsam ineinander geschoben der extreme politische Liberalismus rief doch auf wirtschaftlichem Gebiet schon wieder nach der regulierenden Hand des Staates, und als Unterstützung in diesem Ruf war ihm auch die soziale Anklage zugunsten der wirtschaftlich schwächsten Schichten recht."
1948.0,"Die Regierung, zunächst aus der preußischen Reformzeit her noch streng liberal im Steinschen Sinne und keinem wirtschaftlichen Eingriff, such keinem sozialen geneigt, erstarrte bald in der Reaktion gegen den politischen Liberalismus und die Ansprüche der aufstrebenden gewerblichen Schichten und entdeckte nun ihrerseits die Armut als ein Objekt der Fürsorge sowohl als der politischen Steuerung."
1948.0,"Es ist wohlkein Zufall, daß sich in den Kernsätzen der amerikanischen Unabhänigkeitserklärung, die dem europäischen Liberalismus voranlief, kein Wort von der Natur, wohl aber der Hinweis auf den Schöpfer und das Recht finden das gemäßigte angelsächsische Denken hat sich, auch sakularisiert, nie ganz von seinem religiösen Ausgangspunkt gelöst."
1948.0,"Es könnte nur peinlich wirken,wenn drei Jahrenach dem Zusammenbruch Nazismus, der deutsche Liberalismus von uns als der eigentliche Sinn unserer Geschichte vor der Weltöffentlichkeit angewiesen würde."
1948.0,Ein neuer rationaterer Liberalismus hatte die Oberhand gewonnen.
1948.0,Möglichkeit des Anschlusses an Liberalismus und Demokratie des achtzehnten und neunzehnten Jahrhunderte verpaßt.
1948.0,"Und damit ändern sich alle Voraussetzungen des Überlieferten Liberalismus und seiner überlieferten Staatsform, der Demokratie."
1948.0,"Wenn das gelingt, so ist der Liberalismus nur ein Zwischenkapitel zwischen Macht und Macht gewesen, zwischen dem fürstlichen und dem totalitären Absolutismus."
1948.0,"Die Kräfte, Strömungen, Parteien, die im Zeichen des allgemeinen und gleichen Wahlrechts ihre Ansprüche anmeldeten, den politischen Liberalismus, die römische Kirche, den internationalen Sozialismus empfand er als unvereinbar mit seinem Staatsaufbau."
