year,text
1948.0,In Zukunft sollen von den Privatforsten nur ein paar Naturschutz und Nationalparks übrigbleiben.
1948.0,"In dieser Bedrängnis aber sollte gerade uns Deutschen der englische Plan eine Ermutigung sein Man kann Naturschutz überall und unter fast allen Bedingungen treiben, im europäischen Kulturlandschaften und der Umgebung der Städte so gut wie in afrikanischen Savannen und kanadischen Urwäldern."
1948.0,"Es umfaßt einige tausend Hektar Heide und Waldflächen, die verschiedenen Besitzern gehören, aber als geschlossene Einheit unter Naturschutz gestellt sind."
1948.0,"Allein in England sollen zwölf verschiedene Bezirke mit   qkm Fläche unter Naturschutz gestellt werden, um den verstädterten Menschen ein Stück natürlicher Ordnung und organischen Wachstum zu erhalten."
1950.0,"Falls ein Gast keine Zeit hat, Linderhof zu besuchen, wird er gewiß diese künstlerisch ausgeführte Karte zu DM , erwerben Für Amerikaner diese Postkarten in herrlich giellen Farben, der Satz DM , Almenrausch, Edelweiß und Enzian stehen unter Naturschutz."
1954.0,Nun ist mit dem Landrat von Miesbach in puncto Naturschutz nicht zu spaßen.
1954.0,"Wir bejahen zwar den Naturschutzgedanken, sagen sie, aber wir glauben, selbst zu wissen, wie weit der Naturschutz gehen darf."
1958.0,"Da ist zum Beispiel das Landesvermessungsamt, die Landesstelle für Naturschutz, das Landeseisenbahnamt, die Landeseichdirektion, das Landesamt für Ernährungswirtschaft."
1958.0,"Zwei vom Staat lange Zeit stiefmütterlich behandelte, ihm seit eh und je gestellte Aufgaben beanspruchen immer stärker das Interesse seiner Bürger Naturschutz und Landschaftsschutz."
1958.0,"Wir erwarten von der Regierung oder dem Bezirkspräsidenten, daß sie weitere Naturschutz oder Landschaftsschutzgebiete schaffen und wir ahnen, daß es sonst mit der Natur und der Landschaft bald zu Ende gehen wird."
1958.0,Dem Naturschutz im engeren Sinhe und dem davon zu unterscheidenden Landschaftsschutz dienen die Bestimmungen des Reichsnaturschutzgesetzes vom .
1958.0,"Pflanzen und nichtjagdbare Tiere, die überall unter Naturschutz gestellt sind, werden in den Durchführungsverordnungen zu diesem Gesetz einzeln aufgeführt Federgras."
1960.0,Naturschutz am Königssee.
1960.0,Das bayrische Innenministerium stellte ein   Hektar umfassendes Gebiet um den Königssee im Landkreis Berchtesgaden für zwanzig Jahre unter Naturschutz.
1965.0,"Dient man jedoch der guten Sache, an der es Hildebrandt unzweifelhaft gelegen ist, wenn man die Frage nach der Ergiebigkeit von OstWestVeranstaltungen als unpassend oder unerwünscht ablehnt Sollten sie gar unter nationalem Naturschutz stehen Wem nützen Abende, mögen sie gesamtdeutsch sein oder nicht, die sich offenbar eignen, zur Verblödung des Publikums beizutragen  diesen Eindruck hatte Dieter E. Zimmer gewonnen, der in der ZEIT vom ."
1966.0,"Es ging und geht dann noch um brüchigen Naturschutz, um Baulandpreise  und immer wieder und wieder noch darum, ob diese herrliche Insel mit ihrem Zauber der Kargheit nun endgültig ein Raub der neuen Snobs, der kontenschweren Wunderknaben, der ältlichen Arrives industrieller oder großhändlerischen Herkunft werden soll, die allesamt hier ihre Naturverbundenheit mit sagenhaft smarter, oft grotesk salopper Maskerade feiern, grandios beweibt natürlich, und ihren kosmetisch teuer verlederten Sonnenbrand bis in frühe Morgenstunden mit Wodka mixed gerben."
1968.0,"Weiterhin freilich ist das Programm  vor allem in der Wirtschafts und Sozialpolitik  ein Sammelsurium geblieben Viele Selbstverständlichkeiten in der Finanz und Steuerpolitik, einige neue Verbeugungen vor Gruppeninteressen der Mittelstand war im ersten Entwurf nicht erwähnt worden, einiges, was schwer miteinander vereinbar ist Wettbewerb und Naturschutz für gewisse Gruppen, wie für die Landwirtschaft, manche Vagheiten Mitbestimmung."
1969.0,"Schulreform, Wissenschaftsplanung, Naturschutz, Luftreinigung, Raumordung, Bekämpfung des fürchterlichen Bodenpreiswuchers, Auflösung der meinungsbildenden Halbmonopole, Begrenzung oder Infiltrierung der privaten Machtkonzentrationen überhaupt hier, aufs Geratewohl genannt, liegen einige Forderungen des Gemeinwohls in den siebziger Jahren."
1969.0,"Schließlich zerrte ein Unterausschuß des Repräsentantenhauses, der unter dem Abgeordneten Henry Reuss über den Naturschutz wacht, einige vom Pentagon geheimgehaltene Vorgänge in der Hexenküche der Mikrobiologen und der Chemiker ans Tageslicht."
1970.0,"Die Zuständigkeit für Luft und Wasserreinhaltung sowie für die Lärmbekämpfung ging vom Gesundheitsministerium auf das Innenministerium über jetzt ist Genscher dabei, den Naturschutz seinem Ressort einzuverleiben."
1970.0,"Naturschutz und Landschaftspflege Bisher gibt es noch keine zuverlässigen Untersuchungen darüber, wie sich Eingriffe des Menschen in die Natur auswirken."
1970.0,"Auf einigen Gebieten, so beim Wasserhaushalt und beim Naturschutz, leisten sie jedoch hinhaltenden Widerstand."
1971.0,"Westerland sah immer aus wie eine Goldgräberstadt aus dem Wilden Westen, schreibt der Berliner DiplomIngenieur Axel Jacobshagen in der wissenschaftlichen Zeitschrift für Umweltschutz, die von der Bundesanstalt für Vegetationskunde, Naturschutz und Landschaftspflege herausgegeben wird."
1972.0,"Außerdem kommen zusätzlich sechs sogenannte freie Persönlichkeiten in den Rat eine Frau aus dem Landessportverband und je ein Vertreter des Gemeindetages, des Zeitungsverlegerverbandes, der Arbeitgeber, des Bundes Naturschutz und der freien Berufe."
1973.0,"Wasserhaushalt, Naturschutz und Landschaftspflege bleiben weiter in der Kompetenz der Bundesländer."
1975.0,"Die Vertreter des Bundes Naturschutz waren als einzige Experten von außerhalb zugelassen, durften jedoch auch nur punktuelle Fragen an die Energielobby stellen, ohne Möglichkeiten der Vertiefung, ja ohne Möglichkeiten zu Zusatzfragen."
1977.0,"Auf höchst merkwürdige Weise sind bei dem neuen Geschäftsführer des Bundes Umwelt und Naturschutz Deutschland, Dr. Egon Keller, berufliches und staatsbürgerliches Interesse gekoppelt."
1978.0,"Aber auch handfestere, weniger vertrackte Themen forderten keine Neugier heraus wie weit Naturschutz gehen darf oder wieviel Steuern Eltern zahlen müssen."
1979.0,"Naturschutz ist in diesem Land eine Religion, Männer wie Fälldin und vor allem sein zweiter Stellvertreter Johannson sind ihre Apostel."
