year,text
1964.0,"Le Monde sieht in ihm einen österreichischen Poujade  nicht ganz zu unrecht, wenn man die bombastische Unbestimmtheit einiger programnatischer Erklärungen analysiert Sozialistischer als der Sozialismus, freiheitlicher als die FreiFreitlichen und wenn man den etwas kitschigen Populismus kennt, mit dem Klaus für sich wirbt."
1972.0,"Der unheiligen Dreieinigkeit der SechsProzentPlagen ist das Wiedererstarken des Populismus zuzuschreiben  jener amerikanischen Spielart kleinbürgerlichen Protestes, die schon so oft in der Geschichte der Vereinigten Staaten, auf der Linken wie auf der Rechten, absonderliche Blüten getrieben hat und der sowohl der linksliberale Senator McGovern als auch der rechtskonservative Gouverneur Wallace ihre derzeitige Volkstümlichkeit verdanken."
1972.0,"Der Populismus auf norwegisch tat seine Wirkung Stoppt die Welt, wir wollen aussteigen So etwa mag der Imperativ lauten, den die meisten Norweger mit ihrem Votum verkünden wollten."
1972.0,"In seinem Programm sehen viele eine Renaissance des Populismus, jener rustikalradikalen Bewegung, mit der Ende des vergangenen Jahrhunderts die Farmer des Mittleren Westens und Südens ihrem Zorn über die alles beherrschenden Eisenbahngesellschaften, Banken und Großkonzerne Ausdruck verliehen."
1972.0,"Doch wie sich McGovern mit seinen MarkKrawatten und seiner japanisch dekorierten Prachtvilla in einem der elegantesten Vororte Washingtons im Stil von Jerry OhneStrumpf Simpson und MistgabelBen Tillmann abhebt, so unterscheidet sich auch seine politische Philosophie von der jener frühen Protagonisten des Populismus."
1977.0,Zudem hat der Populismus südlich des Rio Grande einen schlechteren Ruf als in den Vereinigten Staaten.
1977.0,"Allerdings verstärkt sich die Tendenz zu einem scharfen, ausgeprägten Populismus eher noch und das trägt gewiß viel dazu bei, den Konsens zwischen Partei und Parteivorsitzendem zu wahren."
1979.0,Gegen den Populismus von Strauß sind die Liberalen ohne Schwierigkeiten mobil zu machen.
1979.0,"Politik, verallgemeinert er diese Haltung, komme ohne einen gewissen Populismus nun mal nicht aus."
1979.0,"Wie fließend die Grenzen zwischen Bürgernähe und verführerischem Populismus sind, läßt sich am Beispiel Späths belegen."
1979.0,"Populismus und Theokratie sind eine gefährliche Verbindung, die sich totalitär verfestigen kann."
