year,text
1950.0,"Das ist das Ergebnis die drei Gesetze bringen eine besondere Raumordnung, bindende Verpflichtungen der Rekultivierung, planmäßige Festlegung der Entwicklungsräume der rheinischen Braunkohlenbergwerke und  und das ist der Kardinalpunkt  eine in jeder Hinsicht unerwünschte Machtkonzentration in dir Hand einer kommunalen Regierungsstelle, nämlich in der des Regierungspräsidenten von Köln."
1962.0,"Jahre hindurch haben sich drei Ministerien um die Zuständigkeit für die Raumordnung gestritten bei der Bildung der vorletzten Regierung Adenauer im Herbst  wurde die Raumordnung einem vierten, bisher unbeteiligten Ministerium  nämlich dem für Wohnungsbau  übertragen."
1964.0,"Den Vorrang der Gemeinschaftsaufgaben  Wasser, Luft, Raumordnung, Strukturplanung  zu proklamieren, ohne auch nur die vorhandenen oder mit Leichtigkeit zu schaffenden Instrumente, vor allem die Kabinettsausschüsse, dafür einzusetzen, muß Zweifel, wenn nicht am guten Willen, so doch am Ernst des Willens wecken."
1964.0,"K. H.  Von Eka von Merveldt In Israel findet Ende Juni der Weltkongreß des Internationalen Verbandes für Wohnungswesen, Städtebau und Raumordnung statt."
1965.0,"Bucher sollte Wissenschafts, dann Gesundheitsminister werden, aber nachdem die FDP dieses Amt wegen zu geringer Bedeutung abgelehnt hatte, wurde er Wohnungsbauminister allerdings ohne die Abteilung Raumordnung, die zum Innenministerium kommt."
1965.0,"Trotzdem erteilte die Bundesregierung Seebohm die Ausnahmegenehmigung, wahrscheinlich nach der viel praktizierten Maxime Warum soll man nicht einen Gefallen tun, wenn es nichts kostet Das war ein weiterer Fehler, der auch dadurch nicht behoben wurde, daß Paul Lücke dem Bundesminister für Wohnungswesen und ausgerechnet für Städtebau sowie Raumordnung, ebenfalls erlaubt wurde, Präsident des Gemeindetags, der in einem verständlichen Rivalitätsverhältnis zum Städtetag, Städtebund und Landkreistag steht, zu bleiben."
1966.0,"Nicht, daß die bayerische SPD politisch nichts anzubieten hätte, im Gegenteil Ihre Vorstellungen und Pläne zur Raumordnung und Landesplanung, ihr Entwicklungsprogramm für Niederbayern und andere Projekte sind fundiert."
1966.0,"Als Paul Lücke vom Bundesministerium für Wohnungswesen, Städtebau und Raumordnung in das Innenministerium überwechselte, nahm er seinen Staatssekretär, seinen Pressereferenten und seine Abteilung III Städtebau und Raumordnung mit."
1966.0,"Raumordnung ist Lückes Hobby, und er gilt als unbestrittener Sachkenner auf diesem Gebiet."
1966.0,"Man überlege sich nur, was aus der Abteilung Raumordnung wird, wenn der Nachfolger Lückes davon nichts verstehen sollte."
1966.0,"Man stelle sich vor, Lücke muß sich in seiner Eigenschaft als Präsident vor dem Vorstand des Gemeindetags für das verantworten, was er bei dem Minister Lücke in Sachen Raumordnung erreicht hat."
1966.0,"Gerade jetzt hat Lücke den Geschäftsführer des Gemeindetages, den jährigen Assessor Goeb, der weithin als besonders qualifiziert gilt, zum Leiter seiner Abteilung Raumordnung im Innenministerium bestellt."
1966.0,"Man mag jeder einzelnen Maßnahme für sich  der Überführung der Raumordnungsabteilung in das Innenministerium, der Personalunion von Ministeramt und Gemeindetagspräsidentschaft, der Ernennung des Geschäftsführers des Gemeindestages zum Leiter der Abteilung für Raumordnung ein gewisses Verständnis abgewinnen."
1967.0,"Es gibt eine soziale Infrastruktur des politischen Gemeinwesens, zu der die Verkehrswege ebenso wie die Wirtschaftsordnung, die technische Erschließung des Landes wie die Entwicklung von Bildung und Wissenschaft, die rechtliche Ordnung wie die Sicherung vor Unfall, Krankheit und Alter, die Raumordnung wie das System der industriellen Beziehungen gehört."
1967.0,Es hat schließlich eine Rentenreform gegeben die Strafrechtsreform wird seit langem beraten in der Raumordnung werden bereits neue Wege beschritten die Subventionen für die Landwirtschaft dienen wenigstens zum Teil strukturpolitischen Zielen.
1967.0,"Forschungsplanung, Raumordnung und Organisation der staatlichen Verwaltung gehören in denselben Kontext einer Politik der Modernität."
1968.0,"Das gleiche gilt für Fragen der Raumordnung, der Reinhaltung von Luft und Wasser und ähnliches."
1968.0,"Ganz außerhalb diese Bereichs liegen eine Reihe anderer Aufgabengebiete, zwischen denen keinerlei Beziehungen bestehen kulturelle Beziehungen des Bundes, die öffentliche Fürsorge, Sport und Leibesübungen, Raumordnung und Kommunalwesen."
1968.0,"Aus seinem alten Ministerium nahm er die Abteilung Raumordnung und Kommunalwesen, der von jeher sein besonderes Interesse galt, in das neue."
1968.0,Die Raumordnung will der neue Innenminister wohl wieder an das Wohnungsministerium zurückgeben.
