year,text
1946.0,"Seit dem Tage des Bastillesturms geht durch Europa der gleiche revolutionäre Schwung, der anderthalb Jahrzehnte vorher die nordamerikanischen Besitzungen der britischen Krone veranlaßte, die eigene Unabhängigkeit zu fordern."
1946.0,"Es mag auf den ersten Blick überraschen, daß zu den Vertretern dieses Frankreichs die Fortschrittlichen Katholiken, obgleich sie katholisch sind, und die Kommunisten, obgleich sie eine revolutionäre Partei sind, gerechnet werden."
1946.0,"Die Kommunisten sind zwar ebensosehr eine revolutionäre Partei wie die Fortschrittlichen Katholiken eine katholische, aber sie haben ihre Fernziele zurückgestellt gegenüber den Gegenwartsaufgaben des Wiederaufbaus."
1946.0,"Und eben damit waren diese Revolutionäre weit mehr als nur die Antipoden von Hitler und seinem unseligen System ihr Kampf ist darum neben der aktuellen Bedeutung für das Zeitgeschehen unserer Tage auf einer höheren Ebene der Versuch gewesen, das ."
1946.0,"Er verachtete die Politiker, sei es die Parlamentarier in Argentinien, sei es die Revolutionäre in Uruguay oder den nach seiner Ansicht verrotteten Feudalstaat Brasilien."
1946.0,"War es nicht Pflicht, eine revolutionäre Zukunftsgefahr zu bannen und eine nationale Zukunftsnotwendigkeit zu vollstrecken, bevor es wieder hieß zu spät So entstand der Entwurf eines großzügigen Siedlungsgesetzes."
1947.0,"Mit demselben Leitspruch hat er das Abenteuer seiner großen, russischen Reise abgeschlossen, wo er bei den Totenfeierlichkeiten, für Maxim Gorki am . .  die Festrede gehalten hatte der europäische Individualist auf dem Roten Platz in Moskau, dem Zentrum der Massenkultur Die große Zahl, hat er am Ende seines Rechenschaftsberichtes von der russischen Reise Retour de lURSS festgestellt, und sei sie aus den besten Elementen zusammengesetzt, applaudiert bei einem Werk niemals dem Neuen, dem, was im tieferen Sinne wirkt, was die Harmonie des Gewohnten stört, sondern nur dem was sie schon, kennt, dem Banalen Und wie es eine bürgerliche Banalität gab, gibt es revolutionäre Banalitäten darüber muß man sich klar sein."
1947.0,"Eine erstaunliche Stellungnahme ausgerechnet aus dem Zeitalter des Imperialismus und von einem Vertreter dieser Geschichtsepoche vom Range Bismarcks Allerdings lehrt die Geschichte daß sich, revolutionäre Regiegesetzt leichter über solche Bedenken hinweggesetzt haben."
1947.0,"Pann wurde auf das Drängen seiner Anhänger ein diicksal gemildert, er kam nadi schließlich nach Bengkulen beides Orte uf Su , jp a tra Erst die Japaner haben ihn spätes nach Java zurückgebracht,     Die revolutionäre."
1947.0,"Nach Heisenbergs Ansicht ist kaum noch grundsätzlich Neues zu erwarten Die revolutionäre Seite der Atomphysik, die radikal neue Erkenntnisse, schafft, ist kaum noch weiterhin entwicklungsfähig, um so größere Überraschungen aber hält die auf die Vergangenheit gerichtete Betrachtungsweise für uns bereit."
1947.0,"Ihre Gegner behaupten, sie Sollten damit nur revolutionäre Verteilung abfangen und eine wirklich gerechte Verteilung der nationalen Güter verhindern."
1947.0,Die junge sozialistische Generation hat weiterreichende Ziele als nur die revolutionäre Umwälzung der privatwirtschaftlichen Eigentumsordnung.
1947.0,"Wenn Lenin sich mit der Gründung einer Filmproduktion befaßte, so deshalb, weil er den Flimmerstreifen für die modernste und größte Macht im Gebiet der Kunst und für das primäre kulturelle und revolutionäre Propagandamittel der arbeitenden Klasse hielt."
