year,text
1946.0,"Wer diese Tagung, mit ihren Sitzungen und zahlreichen Abstimmungen erlebte, konnte feststellen, daß für die heutigen Studenten Demokratie und Toleranz nicht nur Begriffe sind, sondern in der Praxis Leben gewonnen haben, daß sich dort ein Denken durchzusetzen beginnt, das mit herkömmlichen Vorurteilen gebrochen hat und einen neuen Weg in die Zukunft beschreitet."
1946.0,"Das ist das Wesen der Demokratie, und deswegen sind Parteien nur in einer Demokratie lebensfähig und gerechtfertigt, und deswegen müssen wir die wahre Demokratie mit allen Mitteln anstreben, deswegen müssen wir jeden Versuch einer Unterdrückung der freien Meinungsäußerung mit allen Mitteln der kämpfen, deswegen müssen wir allen daran setzen, um die Voraussetzung einer freien Aussprache, die Toleranz und Achtung der fremden Meinung, zu Toleranz Was war das namenlose Verbrechen des Nationalsozialismus Was hat ihn vom ersten Tage der Machtergreifung an gezwungen, seinem inneren Gesetz nach immer tiefer und tiefer zu sinken, bis er uns in den Abgrund des völligen äußeren und inneren Zusammenbruchs hineingeführt hat Es war die Unterbindung jeglicher Kritik."
1946.0,"Dies nämlich ist der Schwerpunkt jener Rede, in der Außenminister Bevin jetzt im britischen Unterhaus zu den Problemen Stellung nahm, die Geduld und Toleranz erfordern."
1948.0,"Das neue Staatsunternehmen, das von Geist, Innerlichkeit und vor allem von demokratischer Toleranz genau so wenig hielt wie sein östlicher Gegenspieler, verlangte von der Literatur die Mitwirkung an seinen Abenteuer, und dies in einem Lande, wo Künstler, Dichter und Schriftsteller, dank der eigentümlichen deutschen Geschichte, sich in der Außerstaatlichkeit angesiedelt hatten."
1948.0,"Sondern die Satzung bezweckt nach ihrer Präambel unter anderem, daß die Völker der Vereinten Nationen den Glaubenan die Grundrechte des Menchen, an die Würde und den Wertder menschlichen Person, an die gleichen Rechte von Männern und Frauen und großen und kleinen Völkern erneut bekunden, und zu diesem Zwecke Toleranz üben und als gute Nachbarn miteinander in Frieden leben."
1948.0,"Eine Umkehr der Mehrzahl aller verantwortlichen Menschen zu den Grundsätzen der Toleranz, der Güte und der Gerechtigkeit müßte vollzogen sein, bevor alle denkbaren, organisatorischen Mittel zur Sicherung einer friedlichen Zukunft Vertrauen genießen und wirksam werden könnten."
1948.0,Toleranz und Entgegenkommen bestimmten die Verhandlungen.
1948.0,Sicherung der parteipolitischen Neutralität und weltanschauliche Toleranz.
1948.0,"Die Toleranz, die Höflichkeit, die Nachsicht in England Und in Deutsch, land die schweigende Sprache der Ellenbogen  Zum Teufel, sie ist scheußlich, fügt der Student hinzu, und da er wieder in Deutschland, im Elend, sitzt noch tagelang war er nach seiner Rückkehr nicht fähig, Ersatzkaffee oder Heringspaste anzurühren, feiert er die Reise, die ihn für acht Wochen seinem Lande entführte und ihn Atem holen ließ Wir dürfen uns glücklich schätzen, daß man uns diesen Urlaub auf Ehrenwort gewährt hat, und, nachdem wir wieder in unser Exil zurückgekehrt.sind, dürfen wir sagen, wir haben diesen Urlaub genützt."
1948.0,"Toleranz und Menschlichkeit, Klugheit und Umsicht sind die Waffen, mit denen Dr. Chaim Weizmann ein Leben lang das Ziel verfolgte, seinem Volk durch die Gründung eines jüdischen Staates in Palästina eine Nationalheimat zu schaffen."
